No;edad;sexo;v1;v2;v3;v4;v5;v6;v7;v8;v9;v10;v11;v12;v13;v14;v15;v16;v17;v18;v19;v20;v21;v22;v23;v24;v25;v26;v27;v28;v29;v30;v31;FDMQTOTAL
42.0;23.0;1.0;2.0;2.0;1.0;2.0;1.0;1.0;2.0;1.0;2.0;1.0;2.0;1.0;1.0;4.0;1.0;2.0;1.0;2.0;4.0;2.0;2.0;1.0;3.0;3.0;2.0;2.0;1.0;1.0;1.0;2.0;2.0;55.0
43.0;20.0;2.0;3.0;3.0;3.0;3.0;4.0;4.0;2.0;2.0;3.0;3.0;2.0;3.0;2.0;2.0;4.0;2.0;2.0;4.0;3.0;3.0;3.0;4.0;3.0;3.0;2.0;4.0;3.0;4.0;4.0;3.0;4.0;94.0
44.0;29.0;1.0;2.0;2.0;1.0;2.0;1.0;2.0;4.0;1.0;2.0;1.0;2.0;2.0;1.0;1.0;1.0;2.0;1.0;2.0;4.0;2.0;2.0;1.0;1.0;1.0;1.0;4.0;2.0;1.0;1.0;1.0;1.0;52.0
45.0;20.0;2.0;2.0;2.0;3.0;2.0;2.0;3.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;3.0;2.0;2.0;2.0;3.0;2.0;2.0;2.0;1.0;3.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;66.0
47.0;21.0;2.0;2.0;2.0;3.0;2.0;1.0;2.0;2.0;2.0;3.0;1.0;2.0;3.0;2.0;3.0;1.0;2.0;2.0;1.0;3.0;2.0;2.0;1.0;2.0;3.0;2.0;2.0;2.0;1.0;2.0;1.0;2.0;61.0
48.0;20.0;2.0;2.0;3.0;3.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;3.0;2.0;2.0;4.0;2.0;2.0;2.0;1.0;1.0;3.0;2.0;1.0;3.0;1.0;3.0;3.0;2.0;1.0;3.0;3.0;2.0;62.0
49.0;31.0;2.0;2.0;2.0;4.0;1.0;1.0;2.0;3.0;1.0;2.0;4.0;4.0;2.0;3.0;2.0;2.0;2.0;2.0;2.0;3.0;2.0;2.0;2.0;1.0;2.0;2.0;1.0;2.0;2.0;1.0;2.0;1.0;64.0
50.0;31.0;2.0;2.0;2.0;2.0;3.0;1.0;3.0;2.0;1.0;1.0;2.0;2.0;3.0;2.0;3.0;3.0;2.0;2.0;3.0;3.0;3.0;2.0;1.0;2.0;2.0;2.0;3.0;1.0;2.0;2.0;2.0;1.0;65.0
51.0;25.0;2.0;3.0;0.0;0.0;2.0;2.0;1.0;3.0;0.0;3.0;2.0;0.0;2.0;1.0;4.0;1.0;1.0;2.0;2.0;2.0;1.0;3.0;2.0;2.0;3.0;1.0;1.0;2.0;2.0;2.0;2.0;2.0;54.0
52.0;21.0;1.0;2.0;2.0;3.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;4.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;2.0;2.0;3.0;3.0;67.0
53.0;20.0;1.0;1.0;2.0;2.0;1.0;1.0;2.0;2.0;1.0;2.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;2.0;2.0;1.0;1.0;1.0;2.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;41.0
